Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,Wahoo Devices Diagram,
2,Page,,,,,,,,,,Page 1,
3,Rectangle,Geometric Shapes,2,,,,,,,,,
4,Rectangle,Geometric Shapes,2,,,,,,,,,
5,Text,Standard,2,,,,,,,,Raspberry Pi,
6,Text,Standard,2,,,,,,,,KICKR Smart Trainer,
7,Text,Standard,2,,,,,,,,KICKR Climb,
8,Text,Standard,2,,,,,,,,Wahoo Headwind Fan,
9,Text,Standard,2,,,,,,,,TICKR Heart Rate Monitor,
10,Text,Standard,2,,,,,,,,Left Turn Button,
11,Text,Standard,2,,,,,,,,Right Turn Button,
12,Text,Standard,2,,,,,,,,Virtual Machine,
13,Text,Standard,2,,,,,,,,"Mosquitto
MQTT Broker",
14,Text,Standard,2,,,,,,,,VR Game,
15,Text,Standard,2,,,,,,,,VR/PC,
16,Text,Standard,2,,,,,,,,HiveMQ MQTT Broker,
17,Text,Standard,2,,,,,,,,Personal Mobile Hotspot,
18,Text,Standard,2,,,,,,,,Eduroam,
19,Text,Standard,2,,,,,,,,GPIO,
20,Text,Standard,2,,,,,,,,Mobile App,
21,Text,Standard,2,,,,,,,,Smartbike,
22,Text,Standard,2,,,,,,,,Actuator,
23,Text,Standard,2,,,,,,,,Sensor,
24,Text,Standard,2,,,,,,,,Legend,
25,Text,Standard,2,,,,,,,,Implemented Network Path,
26,Text,Standard,2,,,,,,,,Deakin Network Path,
27,Text,Standard,2,,,,,,,,Application,
28,Text,Standard,2,,,,,,,,Raspberry Pi,
29,Text,Standard,2,,,,,,,,GATT,
30,Text,Standard,2,,,,,,,,GATT,
31,Text,Standard,2,,,,,,,,GATT,
32,Text,Standard,2,,,,,,,,Pin 11,
33,Text,Standard,2,,,,,,,,Pin 12,
34,Text,Standard,2,,,,,,,,Wi-Fi,
35,Line,,2,,,19,11,Arrow,None,,,
36,Line,,2,,,19,10,Arrow,None,,,
37,Line,,2,,,5,9,Arrow,None,,,
38,Line,,2,,,5,8,None,Arrow,,,
39,Line,,2,,,5,6,Arrow,Arrow,,,
40,Line,,2,,,6,7,None,Arrow,,,
41,Line,,2,,,19,5,Arrow,Arrow,,,
42,Line,,2,,,5,18,None,Arrow,,,
43,Line,,2,,,5,17,Arrow,Arrow,,,
44,Line,,2,,,17,16,Arrow,Arrow,,,
45,Line,,2,,,13,20,Arrow,Arrow,,,
46,Line,,2,,,12,13,Arrow,Arrow,,,
47,Line,,2,,,18,12,Arrow,Arrow,,,
48,Line,,2,,,20,16,Arrow,Arrow,,,
49,Line,,2,,,15,14,Arrow,Arrow,,,
50,Line,,2,,,15,16,Arrow,Arrow,,,
51,Line,,2,,,13,15,Arrow,Arrow,,,